Rank,Player,Trends,Avg Pick,HI/LO,% Drafted,
97,Vikings DST | MIN *, +1,99.89, 58/146,94.6
98,Alshon Jeffery WR | PHI  *, -8,100.82, 56/151,87.4
99,Matt Ryan QB | ATL *,,101.17, 47/141,94.2
100,Isaiah Crowell RB | NYJ  *, -7,101.53, 65/145,91.1
101,Devin Funchess WR | CAR *,,102.54, 65/148,90.3
102,Adrian Peterson RB | WAS  *, +13,102.67, 61/153,85.4
103,Nelson Agholor WR | PHI  *, +9,103.20, 69/147,91.1
104,Robby Anderson WR | NYJ *, +3,103.50, 71/149,90.1
105,Stephen Gostkowski K | NE *, +4,104.91, 59/153,98.2
106,Marlon Mack RB | IND  *, -4,105.41, 70/149,90.5
107,Sterling Shepard WR | NYG  *, +6,106.15, 67/153,88.3
108,Jared Goff QB | LAR  *, -5,106.35, 50/150,92.2
109,Rashaad Penny RB | SEA  *, -9,106.50, 60/153,88.0
110,Eagles DST | PHI *, -4,106.95, 66/149,94.6
111,Philip Rivers QB | LAC  *, -6,106.98, 55/146,92.1
112,Patrick Mahomes QB | KC  *, -1,107.08, 55/148,92.7
113,Randall Cobb WR | GB  *, -17,107.33, 66/156,85.1
114,James White RB | NE  *, +5,108.95, 58/160,84.7
115,David Njoku TE | CLE *, -5,110.65, 72/153,87.4
116,Alex Smith QB | WAS *,,111.18, 49/161,87.4
117,Duke Johnson RB | CLE  *, -3,111.64, 70/161,82.1
118,Greg Zuerlein K | LAR *,,114.10, 72/158,98.3
119,Jack Doyle TE | IND *, -2,114.78, 75/160,85.2
120,Matt Breida RB | SF  *, +32,114.84, 54/178,71.5
121,Jamison Crowder WR | WAS  *, +1,116.15, 76/164,76.2
122,Chargers DST | LAC *, -1,116.48, 75/158,94.2
123,Calvin Ridley WR | ATL  *, -3,117.62, 77/160,85.0
124,Kenny Stills WR | MIA *,,117.82, 81/162,81.5
125,Ravens DST | BAL *, -2,118.99, 74/163,93.6
126,Ronald Jones RB | TB  *, -22,120.52, 66/175,70.1
127,Titans DST | TEN *, -2,123.98, 56/186,76.8
128,Corey Clement RB | PHI *, -1,124.59, 83/168,79.8
129,Dak Prescott QB | DAL *, -3,125.66, 59/174,74.7
130,Nick Chubb RB | CLE  *, -2,129.98, 83/173,76.4
131,Devontae Booker RB | DEN  *, +2,130.12, 90/172,75.0
132,Steelers DST | PIT *,,130.64, 81/178,87.0
133,Kelvin Benjamin WR | BUF *, -3,130.99, 91/176,62.1
134,Tyler Eifert TE | CIN  *,,131.98, 80/177,73.4
135,Keelan Cole WR | JAC  *, +27,132.03, 92/180,50.6
136,Justin Tucker K | BAL *, +1,132.41, 86/175,97.5
137,C.J. Anderson RB | CAR  *, -8,132.47, 89/176,70.6
138,Bilal Powell RB | NYJ *, +3,133.00, 92/175,69.9
139,Ty Montgomery RB | GB  *, -8,133.24, 87/180,66.5
140,Texans DST | HOU *, -2,134.48, 88/177,83.4
141,Derek Carr QB | OAK  *, -5,134.63, 70/179,65.1
142,Aaron Jones RB | GB  *, -3,134.94, 90/184,54.4
143,Jared Cook TE | OAK  *, -8,134.94, 82/184,63.4
144,Allen Hurns WR | DAL  *, -4,134.99, 93/179,60.4
145,Harrison Butker K | KC *, +1,135.36, 88/182,96.6
146,George Kittle TE | SF  *, -1,135.38, 92/178,67.1
147,Broncos DST | DEN *, -5,135.77, 83/180,83.7
148,Marcus Mariota QB | TEN  *, -5,137.23, 79/179,62.4
149,Eli Manning QB | NYG *,,138.29, 77/183,59.2
150,Austin Ekeler RB | LAC *, +3,138.82, 101/179,68.4
151,Michael Gallup WR | DAL  *, +8,139.23, 93/185,53.0
152,Robbie Gould K | SF *, -2,139.80, 91/187,93.9
153,Kenny Golladay WR | DET *, -6,140.00, 99/183,57.2
154,Mike Williams WR | LAC *, -6,140.14, 95/187,43.7
155,Mohamed Sanu WR | ATL *, +1,142.02, 97/190,49.0
156,Giovani Bernard RB | CIN  *, +5,143.91, 104/185,55.7
157,Jordan Wilkins RB | IND  *, +17,143.93, 102/186,58.0
158,DJ Moore WR | CAR *, -7,143.98, 95/190,44.8
159,Tyrell Williams WR | LAC  *, -4,145.00, 101/194,40.8
160,Tyler Lockett WR | SEA  *, +7,145.21, 76/196,32.1
161,Chris Boswell K | PIT *, +4,145.73, 97/190,92.9
162,Eric Ebron TE | IND  *, -5,145.82, 94/189,54.4
163,Josh Doctson WR | WAS  *, +9,146.17, 102/191,44.6
164,Bears DST | CHI  *, +42,146.18, 87/198,39.9
165,LeGarrette Blount RB | DET  *, -5,146.26, 92/193,45.0
166,Matt Bryant K | ATL  *, +7,146.36, 99/188,94.5
167,DeVante Parker WR | MIA  *, -13,146.41, 99/194,36.5
168,Jake Elliott K | PHI *,,146.97, 100/189,94.4
169,Case Keenum QB | DEN  *, -5,147.29, 81/195,36.3
170,Austin Seferian-Jenkins TE | JAC  *, +25,147.29, 95/194,46.9
171,Latavius Murray RB | MIN  *, -8,147.36, 101/191,46.4
172,John Brown WR | BAL  *, +9,147.58, 104/194,39.4
173,Jameis Winston QB | TB  *, -3,147.63, 89/193,34.4
174,Ted Ginn WR | NO  *, -16,147.71, 96/193,44.2
175,Blake Bortles QB | JAC  *, -6,147.72, 82/199,32.4
176,Theo Riddick RB | DET  *, -10,148.11, 102/194,40.9
177,Wil Lutz K | NO *, +1,149.72, 105/190,94.1
178,O.J. Howard TE | TB *, -2,150.23, 97/196,38.7
179,Andy Dalton QB | CIN *,,150.44, 81/205,21.4
180,Chris Godwin WR | TB *,,150.49, 104/202,24.2
181,Patriots DST | NE *, -1,151.18, 100/196,56.9
182,Panthers DST | CAR  *, -5,151.53, 100/196,49.6
183,Benjamin Watson TE | NO  *, -8,151.63, 100/195,44.2
184,Cameron Brate TE | TB  *, -13,151.67, 101/196,44.0
185,James Conner RB | PIT  *, +8,152.03, 102/197,33.6
186,Mitchell Trubisky QB | CHI *, -2,152.17, 86/205,23.3
187,Packers DST | GB *, -2,152.68, 104/196,53.8
188,Geronimo Allison WR | GB  *,,152.79, 107/202,29.2
189,Charles Clay TE | BUF *,,152.87, 99/203,30.2
190,Anthony Miller WR | CHI *, -8,153.53, 102/203,22.7
191,Saints DST | NO *, -5,153.85, 110/194,58.3
192,Ricky Seals-Jones TE | ARI *, -3,154.03, 92/204,30.0
193,Rishard Matthews WR | TEN  *, -14,154.31, 109/199,31.4
194,Courtland Sutton WR | DEN *, -4,155.22, 101/203,30.3
195,DeSean Jackson WR | TB  *, -7,155.34, 108/201,34.0
196,Nyheim Hines RB | IND  *, -9,155.95, 101/197,38.3
197,Spencer Ware RB | KC *, +1,157.38, 108/201,36.8
198,Dede Westbrook WR | JAC *,,157.47, 110/208,21.7
199,Mike Gesicki TE | MIA  *, -2,158.11, 98/208,27.0
200,Cardinals DST | ARI  *, -6,158.36, 100/209,26.5
201,Christian Kirk WR | ARI *,,158.82, 103/210,20.0
202,Cowboys DST | DAL *, -2,159.18, 108/206,32.1
203,D'Onta Foreman RB | HOU  *, -11,160.23, 115/206,28.2
204,Doug Martin RB | OAK  *, -8,160.40, 112/204,28.4
205,Adam Vinatieri K | IND *, -3,161.17, 114/204,69.7
206,Chiefs DST | KC  *, -5,161.20, 107/208,24.7
207,Paul Richardson WR | WAS  *, -8,163.15, 113/214,21.0
208,Falcons DST | ATL *, -3,163.19, 116/209,28.2
209,Matt Prater K | DET *, -1,163.23, 118/205,68.1
210,Seahawks DST | SEA  *, -3,163.80, 113/211,25.3
211,Dan Bailey K | DAL  *, -7,164.07, 112/211,34.3
212,Mason Crosby K | GB *, -2,164.36, 112/211,47.2
213,Frank Gore RB | MIA  *, -2,165.94, 118/210,26.0
214,Darren Sproles RB | PHI *, -2,166.14, 108/213,20.1
215,Daniel Carlson K | MIN  *, -2,166.45, 120/212,44.7
216,Graham Gano K | CAR *, -2,168.26, 122/213,45.5
217,Josh Lambo K | JAC *, -2,172.36, 127/219,30.0
